1,1,1,100
2,1,2,150
3,1,3,200
4,1,4,120
5,1,5,180
6,1,6,90
7,1,7,300
8,1,8,250
9,1,9,220
10,1,10,400
11,1,11,350
12,1,12,280
13,1,13,160
14,1,14,140
15,1,15,500
16,2,1,110
17,2,2,130
18,2,3,210
19,2,4,115
20,2,5,175
21,2,6,95
22,2,7,290
23,2,8,260
24,2,9,230
25,2,10,410
26,2,11,340
27,2,12,270
28,2,13,170
29,2,14,135
30,2,15,480
31,3,1,120
32,3,2,140
33,3,3,220
34,3,4,125
35,3,5,185
36,3,6,100
37,3,7,310
38,3,8,240
39,3,9,225
40,3,10,420
41,3,11,330
42,3,12,260
43,3,13,180
44,3,14,145
45,3,15,490
46,4,1,130
47,4,2,135
48,4,3,230
49,4,4,130
50,4,5,190
51,4,6,105
52,4,7,320
53,4,8,255
54,4,9,240
55,4,10,430
56,4,11,320
57,4,12,290
58,4,13,190
59,4,14,150
60,4,15,510
61,5,1,140
62,5,2,145
63,5,3,240
64,5,4,135
65,5,5,195
66,5,6,110
67,5,7,330
68,5,8,270
69,5,9,250
70,5,10,440
71,5,11,310
72,5,12,300
73,5,13,200
74,5,14,155
75,5,15,520
76,6,1,150
77,6,2,150
78,6,3,250
79,6,4,140
80,6,5,200
81,6,6,115
82,6,7,340
83,6,8,280
84,6,9,260
85,6,10,450
86,6,11,300
87,6,12,310
88,6,13,210
89,6,14,160
90,6,15,530
